# Compact pinyin → hanzi. Generated from mozillazg/pinyin-data (MIT).
a	吖呵啊嗄腌錒锕阿
qian	前乾仟仱伣佥俔倩偂傔僉儙
qiang	丬創勥呛哐唴啌嗆嗴墏墙墻
qiao	桥丂乔侨俏偢僑僺削劁喬喿
qie	且伽倢切匧厒唼喋嗛契妾婕
qin	亲侵儭勤吢吣唚嗪噙坅埁埐
qing	亲倩倾傾儬凊剠勍卿啨圊埥
qiong	儝卭嬛宆惸憌桏橩焪焭煢熍
qiu	丘丠仇俅區厹叴唒囚团坵媝
qu	去伹佉佢刞劬匤区區厺取句
quan	串佺全券劝勧勸卷啳圈圏圳
que	傕却卻埆塙墧屈崅悫愨慤搉
qun	囷夋宭峮帬歏箘羣群裙裠踆
ran	然冄冉呥嘫姌媣染柟橪熯燃
rang	儴勷嚷壌壤孃忀懹攘欀瀼爙
rao	娆嬈扰撓擾桡橈犪穘繚繞绕
re	偌喏惹捼渃热焫熱若蹃
ren	人亻仁仞仭任儿刃刄壬妊姙
reng	仍戎扔礽穰耳艿芿辸陾
ri	日囸氜釰鈤馹驲
rong	傇傛冗坈媶嫆嬫宂容峵嵘嵤
rou	厹媃宍揉柔楺渘煣瑈瓇禸粈
ru	如乳侞偄儒入吺咮嗕嚅女媷
rua	挼
ruan	偄堧壖媆撋擩朊檽濡燸瑌瓀
rui	兑内叡壡婑惢抐撋枘桵棁橤
run	撋橍润潤瞤膶閏閠闰
ruo	偌叒婼嵶弱惹挼捼撋楉渃溺
sa	仨卅挱挲摋撒攃檫櫒殺泧洒
sai	僿嗮嘥噻塞思愢揌毢毸簺腮
san	三仐伞俕傘傪厁叁參壭帴弎
sang	丧喪嗓搡桑桒槡磉纕褬鎟顙
sao	哨埽嫂慅懆扫掃掻搔梢橾氉
se	啬嗇塞寨廧愬懎拺擌栜槭歮
sen	傪摻森椮槮洒滲襂
seng	僧鬙
sha	乷倽傻儍刹剎厦哈唦唼啑啥
shai	摋攦晒曬殺筛篩簁簛繺色諰
